지역별,지역내총생산(당해년가격),구성비,연중인구,1인당 지역내총생산,수준지수(서울특별시=100),재산세,1인당 재산세,재산세 수준지수(서울특별시=100)
서울시,344426006,100,10297138,3345,100,930924579,90.41,100
종로구,27929070,8.1,163822,17048,509.69,37036740,226.08,250.06
중구,47887993,13.9,134329,35650,1065.8,52642547,391.89,433.46
용산구,9871373,2.9,247909,3982,119.04,38116748,153.75,170.06
성동구,9673958,2.8,305065,3171,94.81,24212208,79.37,87.79
광진구,5592832,1.6,375180,1491,44.57,22379658,59.65,65.98
동대문구,6688724,1.9,373824,1789,53.49,21255471,56.86,62.89
중랑구,3755466,1.1,418620,897,26.82,13855349,33.1,36.61
성북구,4938574,1.4,469560,1052,31.44,20682890,44.05,48.72
강북구,2618309,0.8,334426,783,23.41,11351533,33.94,37.54
도봉구,2636029,0.8,353241,746,22.31,11346627,32.12,35.53
노원구,5012188,1.5,578221,867,25.92,19555950,33.82,37.41
은평구,3491843,1,502578,695,20.77,18873680,37.55,41.53
서대문구,7227343,2.1,323105,2237,66.87,17387913,53.82,59.53
마포구,15763646,4.6,398351,3957,118.31,35942217,90.23,99.8
양천구,5697533,1.7,489010,1165,34.83,26580965,54.36,60.13
강서구,9627187,2.8,595691,1616,48.32,37564930,63.06,69.75
구로구,11163275,3.2,454604,2456,73.41,22265873,48.98,54.18
금천구,13735602,4,256167,5362,160.3,15820126,61.76,68.31
영등포구,26770448,7.8,417811,6407,191.56,42035952,100.61,111.28
동작구,4892610,1.4,412774,1185,35.44,21540475,52.18,57.71
관악구,5196230,1.5,529031,982,29.36,20425002,38.61,42.71
서초구,28442584,8.3,451258,6303,188.44,101423196,224.76,248.6
강남구,57968609,16.8,581760,9964,297.9,181036628,311.19,344.2
송파구,20858285,6.1,667480,3125,93.42,85832870,128.59,142.23
강동구,6986297,2,463321,1508,45.08,31759031,68.55,75.82
